"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"KGLiDS: A Platform for Semantic Abstraction, Linking, and Automation of Data Science","M. Helali; N. Monjazeb; S. Vashisth; P. Carrier; A. Helal; A. Cavalcante; K. Ammar; K. Hose; E. Mansour","Concordia University; Concordia University; Concordia University; Concordia University; Concordia University; Borealis AI; University of Waterloo, Holistic Intelligence for Global Good; TU Wien; Concordia University",2024 IEEE 40th International Conference on Data Engineering (ICDE),"23 Jul 2024","2024","","","179","192","In recent years, we have witnessed the growing interest from academia and industry in applying data science technologies to analyze large amounts of data. In this process, a myriad of artifacts (datasets, pipeline scripts, etc.) are created. However, there has been no systematic attempt to holistically collect and exploit all the knowledge and experiences that are implicitly contained in those artifacts. Instead, data scientists recover information and expertise from colleagues or learn via trial and error. Hence, this paper presents a scalable platform, KGLiDS, that employs machine learning and knowledge graph technologies to abstract and capture the semantics of data science artifacts and their connections. Based on this information, KGLiDS enables various downstream applications, such as data discovery and pipeline automation. Our comprehensive evaluation covers use cases in data discovery, data cleaning, transformation, and AutoML. It shows that KGLiDS is significantly faster with a lower memory footprint than the state-of-the-art systems while achieving comparable or better accuracy.","2375-026X","979-8-3503-1715-2","10.1109/ICDE60146.2024.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10597753","Linked Data Science;Knowledge Graphs;Graph Neural Networks;Data Integration;Data Discovery","Automation;Accuracy;Systematics;Semantics;Pipelines;Machine learning;Knowledge graphs","","2","","63","IEEE","23 Jul 2024","","","IEEE","IEEE Conferences"
"Model-Driven Approach for Automatic Model Information Aggregation in Structured Documents","A. Henzgen; L. Strey","System Quality Center, Fraunhofer FOKUS, Berlin, Germany; System Quality Center, Fraunhofer FOKUS, Berlin, Germany",2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"22 Dec 2023","2023","","","403","413","While models are widely used in software development projects originating from industry and academic research, their documentation can be a time-intensive process. This paper focuses on providing a Proof of Concept for the automatic aggregation of various model data in two different document types conforming to ISO/IEC/IEEE 42010 architecture descriptions or instructional information documents according to ISO/IEC/IEEE 26514. Therefore, this work leverages a model-driven mapping approach of model information to the required document structure, dynamic templating algorithms to transform model data into text and a prototypical implementation that executes the defined mapping and transformation logic in practice. The generation results show that most of the documentation standard requirements can be fulfilled automatically and therefore, reduce the manual processing effort while enhancing consistency.","","979-8-3503-2498-3","10.1109/MODELS-C59198.2023.00072","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350821","Model-Driven Engineering;Documentation;BPMN;UML;GSN;Model-to-Document;Architecture Description;Instructional Information","Industries;ISO Standards;Heuristic algorithms;Documentation;Computer architecture;Transforms;Data models","","","","49","IEEE","22 Dec 2023","","","IEEE","IEEE Conferences"
"Abstract Representation for Multi-Intent Spoken Language Understanding","R. Abrougui; G. Damnati; J. Heinecke; F. Béchet","Orange Innovation, Lannion, France; Orange Innovation, Lannion, France; Orange Innovation, Lannion, France; Aix-Marseille University, CNRS, Marseille, France","ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","5 May 2023","2023","","","1","5","Current sequence tagging models based on Deep Neural Network models with pretrained language models achieve almost perfect results on many SLU benchmarks with a flat semantic annotation at the token level such as ATIS or SNIPS. When dealing with more complex human-machine interactions (multi-domain, multi-intent, dialog context), relational semantic structures are needed in order to encode the links between slots and intents within an utterance and through dialog history. We propose in this study a new way to project annotation in an abstract structure with more compositional expressive power and a model to directly generate this abstract structure. We evaluate it on the MultiWoz dataset in a contextual SLU experimental setup. We show that this projection can be used to extend the existing flat annotations towards graph-based structures.","2379-190X","978-1-7281-6327-7","10.1109/ICASSP49357.2023.10095062","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10095062","Natural Language Understanding;Spoken Language Understanding;sequence tagging;sequence-to-sequence models","Human computer interaction;Deep learning;Annotations;Semantics;Neural networks;Natural languages;Tagging","","","","21","IEEE","5 May 2023","","","IEEE","IEEE Conferences"
"The Semantic Web Vision: Where Are We?","J. Cardoso","University of Madeira, Portugal",IEEE Intelligent Systems,"8 Oct 2007","2007","22","5","84","88","The full vision of the Semantic Web and its mainstream adoption is still five to 10 years away. To get a current snapshot of key trends and developments, University of Madeira researchers surveyed 627 Semantic Web researchers and practitioners to learn how they're using and interrelating semantic technologies.","1941-1294","","10.1109/MIS.2007.4338499","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4338499","Semantic Web","Semantic Web;Ontologies;Footwear;Resource description framework;Microstrip;Logic;Intelligent systems;HTML;Markup languages;Petroleum","","112","","10","IEEE","8 Oct 2007","","","IEEE","IEEE Magazines"
"Web Services Planning Agent in Dynamic Environments with Incomplete Information and Time Restrictions","J. A. G. Luna; D. A. Ovalle","SINTELWEB Intelligent Systems, the Web Escuela de Sistemas, Universidad Nacional de Colombia, Colombia; SINTELWEB Intelligent Systems, the Web Escuela de Sistemas, Universidad Nacional de Colombia, Colombia",2008 11th IEEE International Conference on Computational Science and Engineering - Workshops,"12 Sep 2008","2008","","","245","250","This paper presents a planning agent proposal for Web Services composition in which a service composition plan is constructed in an incremental way, which can be executed in a concurrent way during its composition with the purpose of facing three problems associated to this process, such as: partial observation of the environment, restrictions on time which system can use to deliberate before acting, and highly dynamic behavior which Web presents.","","978-0-7695-3257-8","10.1109/CSEW.2008.56","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4625069","Web Services Composition;Automated Planning;Semantic Web Service;Dynamic Environments","Planning;Web services;Ontologies;Computer architecture;Proposals;Refining;Heuristic algorithms","","1","","15","IEEE","12 Sep 2008","","","IEEE","IEEE Conferences"
"Business Modelling Language: a framework supporting interoperability in cluster of SMEs","A. Corallo; E. Caputo; V. Cisternino","Angelo Corallo, Emanuele Caputo and Virginia Cisternino, Innovation Engineering Department, eBusiness Management Section-ISUFI, University of Lecce, Lecce, Italy; Angelo Corallo, Emanuele Caputo and Virginia Cisternino, Innovation Engineering Department, eBusiness Management Section-ISUFI, University of Lecce, Lecce, Italy; Angelo Corallo, Emanuele Caputo and Virginia Cisternino, Innovation Engineering Department, eBusiness Management Section-ISUFI, University of Lecce, Lecce, Italy",2007 Inaugural IEEE-IES Digital EcoSystems and Technologies Conference,"18 Jun 2007","2007","","","107","112","This paper aims at describing the effort realised by ISUFI in defining the business modelling language (BML), in the widest context of the digital business ecosystem (DBE) Project. One of the main obstacles in the adoption of e-business technologies from organisations and communities depends on the divide between technologies, which have reached a quite high level of maturity, and methodologies enabling business knowledge modelling. These methodologies are, on one side, not enough connected with software development and management processes and, on the other, poorly usable and understandable from business users. BML has as main purpose to allows a more simple communication among business people involved in e-business scenario, granting at the same time a strong expressivity and formal logic mapping.","2150-4946","1-4244-0467-3","10.1109/DEST.2007.371954","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4233688","business modelling;SBVR;meta-modelling","Business communication;Ecosystems;Context modeling;Markup languages;Broadcasting;Technological innovation;Costs;Production;Companies;Paper technology","","9","","28","IEEE","18 Jun 2007","","","IEEE","IEEE Conferences"
"CAKE: the intelligent knowledge modeling Web services for semantic Web","Cao WeiQi; Li JuanZi; Wang KeHong","Know ledge Engineering Group, The Department of Computer Science and Technology, Tsinghua University, Beijing, China; Know ledge Engineering Group, The Department of Computer Science and Technology, Tsinghua University, Beijing, China; Know ledge Engineering Group, The Department of Computer Science and Technology, Tsinghua University, Beijing, China",8th International Conference on Computer Supported Cooperative Work in Design,"8 Nov 2004","2004","1","","209","216 Vol.1","In order to solve the problems of low interconversion, interoperability and difficult rule-logic extraction in the semantic Web, based on the spiral law of knowledge evolution we discovered, we have put forward a set of unified knowledge modeling approach, accompanied in the entire cycle of knowledge application, from the primary data layer to ontology, rule and logic layer, and have defined a universal Knowledge Modeling Language - KML. We have further invented the KML-based knowledge construction, conversion and rule-logic extracting mechanism. In the end, we have designed and developed a computer aided knowledge modeling environment - CAKE, to implement a multimode intelligent Web services. Our work opens up a way to achieve the ultimate goal of semantic Web - effective and efficient global knowledge exchange.","","0-7803-7941-1","10.1109/CACWD.2004.1349017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1349017","","Web services;Semantic Web;Logic;Ontologies;Resource description framework;Engines;Data mining;Knowledge representation;Humans;XML","","1","","19","IEEE","8 Nov 2004","","","IEEE","IEEE Conferences"
"Semantic Query Answering with Time-Series Graphs","L. Ferres; M. Dumontier; N. Villanueva-Rosales","Human-Oriented Technology Laboratory, Ottawa, ONT, Canada; Human-Oriented Technology Laboratory, Ottawa, ONT, Canada; School of Computer Science, Carleton University, Ottawa, ONT, Canada",2007 Eleventh International IEEE EDOC Conference Workshop,"16 Jul 2008","2007","","","117","124","Statistical graphs are ubiquitous mechanisms for data visualization such that most, if not all, enterprises communicate information through them. However, many graphs are stored as unstructured images or proprietary binary objects, making them difficult to work with beyond the reports in which they are embedded. While graphs can be mapped to more common XML representations, these lack expressive semantics to discover new knowledge about them or to answer queries at various levels of granularity. This paper describes an OWL ontology that facilitates the representation, exchange, reasoning and query answering of statistical graph data. We illustrate the advantages of using an ontological approach to discover and query about time-series statistical graphs.","","978-0-7695-3338-4","10.1109/EDOCW.2007.28","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4566963","","Ontologies;Data visualization;Rendering (computer graphics);Laboratories;Biology;Computer science;XML;OWL;Buildings;Information retrieval","","2","","21","IEEE","16 Jul 2008","","","IEEE","IEEE Conferences"
"Adapting a generic match algorithm to align ontologies of human anatomy","P. Mork; P. A. Bernstein","Microsoft Research Limited, Redmond, MA, USA; Microsoft Research Limited, Redmond, MA, USA",Proceedings. 20th International Conference on Data Engineering,"9 Aug 2004","2004","","","787","790","The difficulty inherent in schema matching has led to the development of several generic match algorithms. We describe how we adapted general approaches to the specific task of aligning two ontologies of human anatomy, the Foundational Model of Anatomy and the GALEN Common Reference Model. Our approach consists of three phases: lexical, structural and hierarchical, which leverage different aspects of the ontologies as they are represented in a generic meta-model. Lexical matching identifies concepts with similar names. Structural matching identifies concepts whose neighbors are similar. Finally, hierarchical matching identifies concepts with similar descendants. We conclude by reporting on the lessons we learned.","1063-6382","0-7695-2065-0","10.1109/ICDE.2004.1320047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1320047","","Ontologies;Human anatomy;XML;Computer science;Databases;Data warehouses;Frequency conversion;Biological information theory;Organisms;Physiology","","18","","13","IEEE","9 Aug 2004","","","IEEE","IEEE Conferences"
"Semantic Smoothing the Multinomial Naive Bayes for Biomedical Literature Classification","J. Wen; Z. Li","Computer School, National University of Defense Technology, Changsha, China; School of Computer Science & Engineering, Beihang University, Beijing, China",2007 IEEE International Conference on Granular Computing (GRC 2007),"17 Dec 2007","2007","","","648","648","Huge biomedical literatures result in many new challenges on text classification, its efficiency and sparseness of data attract many researchers. Recent success of language modeling in information retrieval have let us consider again about multinomial Naive Bayes for text classification. In this paper, we propose a semantic smoothing method for Naive Bayes model, biomedical documents were indexed by the concept of UMLS, and at the same time concept pairs which are context-sensitive were extracted as topic signature, the translation between concept pair and concept is attained using EM algorithm. Then classification model is estimated by a mixture model combined with this semantic smoothing method. Ontology-based document representation can deal with synonym and reduce the concept vector. The semantic smoothing method can partly solve the sparseness of data. Our method is evaluated on OHSUMED and genomic track collection, and proper results were attained. We found this semantic smoothing method can attain better results than other simple smoothing method, also this method is significant because of its simpleness, comprehensibility.","","978-0-7695-3032-1","10.1109/GrC.2007.98","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4403180","","Smoothing methods;Text categorization;Genomics;Bioinformatics;Biomedical computing;Support vector machines;Support vector machine classification;Unified modeling language;Data mining;Information retrieval","","2","","16","IEEE","17 Dec 2007","","","IEEE","IEEE Conferences"
"A process for DoDAF based systems architecting","M. Amissah; H. A. H. Handley","Engineering Management & Systems Engineering Department, Old Dominion University, Norfolk, VA, U.S.A; Engineering Management & Systems Engineering Department, Old Dominion University, Norfolk, VA, U.S.A",2016 Annual IEEE Systems Conference (SysCon),"16 Jun 2016","2016","","","1","7","The Department of Defense Architectural Framework (DoDAF) is the DoD's mandated method to document system architectures. The current version of DoDAF i.e. v2.02 advocates a data-centric process focused on eliciting data to facilitate decision support. It prescribes a domain ontology i.e. the DoDAF Meta-Model (DM2) aimed at ensuring conformance and interoperability of architecture models. Although DoDAF currently does not prescribe or proscribe specific methodologies or tools, the mismatch between DoDAF's underlying modeling approach and mainstream methodologies and supporting technology in Systems Engineering (SE) has been alluded to in the literature [1-3]. This paper proposes a process for architecting of systems in line with the DoDAF, aimed at bridging this gap. Additionally it offers a discussion of supporting tools in this regard.","","978-1-4673-9519-9","10.1109/SYSCON.2016.7490649","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7490649","Systems Architecture;DODAF;Modeling & Simulation","Unified modeling language;Data models;Stakeholders;Computer architecture;Context;Ontologies","","5","","35","IEEE","16 Jun 2016","","","IEEE","IEEE Conferences"
"Semantic-based Architecture Smell Analysis","N. Chondamrongkul; J. Sun; I. Warren; S. U. -J. Lee","Department of Computer Science, University of Auckland, Auckland, New Zealand; Department of Computer Science, University of Auckland, Auckland, New Zealand; Department of Computer Science, University of Auckland, Auckland, New Zealand; College of Computing, Hanyang University, Ansan, Korea",2020 IEEE/ACM 8th International Conference on Formal Methods in Software Engineering (FormaliSE),"25 Jul 2023","2020","","","109","118","Software smells have negative impacts on the reliability and modifiability of software systems. The smells in architecture design can be cascaded down to the implementation level and cause issues that require much effort to fix. Therefore, early detection of the architecture smells can benefit the overall quality of the software system. This paper presents an integration of methods that formally define the software architecture design towards architecture smell detection. Our approach serves as a framework that allows the architectural structures and behaviours to be formally analysed based on a coherent technique. We evaluated the accuracy and performance of our approach with the models generated from open source projects. The results show that our approach is effective and functions well.","2575-5099","978-1-4503-7071-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10186650","Architecture Smells;Software Architecture;Ontology Web Language;Model Checking;Smell Detection","Software architecture;OWL;Computer architecture;Ontologies;Model checking;Software systems;Cognition","","","","27","","25 Jul 2023","","","IEEE","IEEE Conferences"
"A Meta-Meta-Model for Seven Business Process Modeling Languages","F. Heidari; P. Loucopoulos; F. Brazier; J. Barjis","System Engineering Section, TBM Faculty, Delft University of Technology, Delft, Netherlands; Department of Informatics and Telematics, Harokopio University of Athens, Athens, Greece; System Engineering Section, TBM Faculty, Delft University of Technology, Delft, Netherlands; System Engineering Section, TBM Faculty, Delft University of Technology, Delft, Netherlands",2013 IEEE 15th Conference on Business Informatics,"24 Oct 2013","2013","","","216","221","Many different business process modelling languages (BPMLs) have been designed in recent years. In cross-organizational business processes and heterogeneous organizations where multiple BPMLs are deployed there is a need for a unified view to ease communication and foster understandability. This paper proposes a language independent abstraction of seven mainstream BPMLs' concepts, in a unified meta-meta model based on an analysis of these modelling languages. Generic concepts are identified and a unified metamodel is developed. An ontological analysis of the representational capability of this metamodel is examined in relation to the Bunge-Wand-Weber ontology and applicability of the approach is demonstrated via an Example.","2378-1971","978-0-7695-5072-5","10.1109/CBI.2013.38","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6642879","Business process;Business process modelling;Business process meta-meta model;Business process ontology;BWW ontology","Business;Unified modeling language;Ontologies;Analytical models;Predictive models;Object oriented modeling;Semantics","","20","","18","IEEE","24 Oct 2013","","","IEEE","IEEE Conferences"
"RDguru: A Conversational Intelligent Agent for Rare Diseases","J. Yang; L. Shu; H. Duan; H. Li","Clinical Data Center, The Children's Hospital, Zhejiang University School of Medicine, National Clinical Research Center for Child Health, Hangzhou, China; Rhode Island Hospital, Warren Alpert Medical School of Brown University, Rhode Island, USA; College of Biomedical Engineering and Instrument Science, Zhejiang University, Hangzhou, China; Clinical Data Center, The Children's Hospital, Zhejiang University School of Medicine, National Clinical Research Center for Child Health, Hangzhou, China",IEEE Journal of Biomedical and Health Informatics,"5 Sep 2025","2025","29","9","6366","6378","Large language models (LLMs) hold significant promise in clinical practice, yet their real-world adoption is constrained by their propensity to produce erroneous and occasionally harmful outputs, particularly in the intricate domain of rare diseases (RDs). This study introduces RDguru, a conversational intelligent agent leveraging the LangChain framework and powered by GPT-3.5-turbo. RDguru offers a comprehensive suite of functionalities, encompassing evidence-traceable knowledge Q&A and professional medical consultations for differential diagnosis (DDX), integrating authoritative knowledge sources and reliable tools. A novel multi-source fusion diagnostic model, rooted in deep Q-network, amalgamates three diagnostic recommendation strategies (GPT-4, PheLR, and phenotype matching) to enhance diagnostic recall during medical consultations. Through tailored tools and advanced algorithms for retrieval-augmented generation, RDguru excels in knowledge Q&A, automated phenotype annotation, and RD DDX. A multi-aspect Q&A analysis demonstrates RDguru outperforms ChatGPT in generating descriptions aligned with authoritative knowledge, quantified by ROUGE scores, GPT-4-based automatic rating, and RAGAs evaluation metrics. Testing on 238 published RD cases reveals that RDguru's top 5 multi-source fusion diagnoses recapture 63.87% of actual diagnoses, marking a 5.47% improvement over the state-of-the-art diagnostic method PheLR. Furthermore, RDguru's consultation strategy proves effective in eliciting diagnostically beneficial phenotypes and refining the prioritization of genuine diagnoses through multi-round phenotype-orient questioning. Evaluations against established benchmarks and real-world patient data demonstrate RDguru's efficacy and reliability, highlighting its potential to enhance clinical decision-making in the realm of RDs.","2168-2208","","10.1109/JBHI.2024.3464555","National Natural Science Foundation of China(grant numbers:81871456); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10684379","Conversational AI;deep Q-network;knowledge Q&A;large language model;medical consultation;rare diseases","Medical diagnostic imaging;Diseases;Phenotypes;Cognition;Intelligent agents;Bioinformatics;Knowledge engineering","Humans;Rare Diseases;Algorithms","6","","43","CCBYNCND","19 Sep 2024","","","IEEE","IEEE Journals"
"Onto2MAS: An Ontology-Based Framework for Automatic Multi-Agent System Generation","C. Donzelli; S. A. Kidanu; R. Chbeir; Y. Cardinale","University of Pau and Adour Countries, Anglet, France; University of Pau and Adour Countries, Anglet, France; University of Pau and Adour Countries, Anglet, France; Universidad Simón Bolívar, Caracas, Venezuela",2016 12th International Conference on Signal-Image Technology & Internet-Based Systems (SITIS),"24 Apr 2017","2016","","","381","388","Multi-Agent Systems (MASs) have received muchattention in recent years because of their advantages on modelingcomplex distributed systems. Current modeling languages andmethodologies that support the construction of such systemsrequire the use of different tools to complete their design, development, and deployment. However, the development of MASsremains a complicated task, which demands time and specialprogramming skills. This paper proposes a framework, calledOnto2MAS, to provide developers an automatic generation ofMASs, based on an ontology to assist the easy definition of agentsinteraction and knowledge. With Onto2MAS, the complexityof the development process of MASs is reduced and an easyway to design uniform communication, messages exchanging, and generation of new knowledge in the system is provided. Todemonstrate the efficiency of our approach, we also present theresults of the experimental tests that we conducted with a firstimplementation of Onto2MAS, called OnToJade.","","978-1-5090-5698-9","10.1109/SITIS.2016.67","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7907494","Multi-Agent Systems;Ontology;Framework;JADE","Ontologies;Unified modeling language;Prototypes;Capability maturity model;Programming;Generators;Multi-agent systems","","5","","21","IEEE","24 Apr 2017","","","IEEE","IEEE Conferences"
"Product modeling framework and language for behavior evaluation","J. H. Lee; S. J. Fenves; C. Bock; H. -W. Suh; S. Rachuri; X. Fiorentini; R. D. Sriram","National Institute for Standards and Technology, Gaithersburg, MD, USA; National Institute for Standards and Technology, Gaithersburg, MD, USA; National Institute for Standards and Technology, Gaithersburg, MD, USA; Korea Advanced Institute of Science and Technology, Daejeon, South Korea; National Institute for Standards and Technology, Gaithersburg, MD, USA; National Institute for Standards and Technology, USA; National Institute for Standards and Technology, Gaithersburg, MD, USA",2010 IEEE International Conference on Automation Science and Engineering,"21 Oct 2010","2010","","","136","143","Supporting different stakeholder viewpoints across the product's entire lifecycle requires semantic richness for representing product related information. This paper proposes a multi-layered product-modeling framework that enables stakeholders to define their product-specific models and relate product-specific models to physical or simulated instances. The framework is defined within the Model-driven Architecture and adapted to the multi-layer approach of the architecture. The data layer represents real world products, the model layer includes models of those products, and the meta-model layer defines the product modeling language. The semantic-based product modeling language described in this paper is specialized from a web ontology language enabling product designers to express the semantics of their product models explicitly and logically in an engineering-friendly way. The interactions between these three layers are described to illustrate how each layer in the framework is used in a product engineering context.","2161-8089","978-1-4244-5449-5","10.1109/COASE.2010.5584462","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5584462","","Semantics;OWL;Object oriented modeling;Ontologies;Atmospheric modeling;Geometry;Syntactics","","2","","24","IEEE","21 Oct 2010","","","IEEE","IEEE Conferences"
"On languages for conceptual data modeling in multi-disciplinary space systems engineering","C. Hennig; H. Eisenmann; A. Viehl; O. Bringmann","Intelligent Systems and Production Engineering, FZI Research Center for Information Technology, Karlsruhe, Germany; TSOEC3, Space Systems, Airbus Defence and Space, Friedrichshafen, Germany; Intelligent Systems and Production Engineering, FZI Research Center for Information Technology, Karlsruhe, Germany; Wilhelm-Schickard-Institute for Computer Science, Eberhard-Karls-University of Tubingen, Tubingen, Germany",2015 3rd International Conference on Model-Driven Engineering and Software Development (MODELSWARD),"12 Nov 2015","2015","","","384","393","The engineering of complex systems is more and more supported through computer-based models that rely on a comprehensive specification of their underlying data. This paper reflects on extensive industrial experience with a sophisticated application of conceptual data modeling, addressing requirements as they arise in the context of space systems engineering. For this purpose identified needs for conceptual data modeling in the scope of Model-Based Systems Engineering are formulated. Established and evolving approaches and technologies for building conceptual data models are characterized, analyzed, and discussed regarding their suitability for modeling engineering data. Based on this analysis of the state of the art, recommendations for the future evolution of conceptual data modeling are formulated.","","978-989-758-136-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7323121","Systems Engineering;Model-based Systems Engineering;Conceptual Data Modeling;UML;Ecore;OWL;ORM","Unified modeling language;Data models;Biological system modeling;Solid modeling;Computational modeling;Analytical models","","","","30","","12 Nov 2015","","","IEEE","IEEE Conferences"
"Lexicons, semantic relations and onthologies","A. Molea","Department of Foreign Languages, Military Technical Academy, Bucharest, Romania",2010 8th International Conference on Communications,"15 Jul 2010","2010","","","103","106","The paper discusses several issues concerning the lexicon within a psycholinguistic pragmatic model of language which takes into account both use and competence. Besides semantic information entailed in the word meaning, the lexicon also includes the semantic relations. Therefore, the logical line of research should combine the pragmatic perspective with a model of language competence and language use which would assume that the semantic relations among words must be represented in the lexicon with other knowledge of words, i.e. we need an otology for the lexicon, seen as a non-linguistic object that more-directly represents the world, providing an interpretation or grounding of word senses. This kind of approach is to be used in machine translation and other multilingual applications where a mapping like this could act as an interlingua, enabling the words in one language to be interpreted in another.","","978-1-4244-6363-3","10.1109/ICCOMM.2010.5509000","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5509000","semantic relations;knowledge of language;ontology;pragmatic and psycholinguistic perspective","Natural languages;Cultural differences;Psychology;Grounding;Ontologies;Handicapped aids;Wrist;Elbow;Insurance;Morphology","","","","9","IEEE","15 Jul 2010","","","IEEE","IEEE Conferences"
"An Integrated Design Method For Cyber-Physical Production Systems","G. Wan; P. Wang; L. Xue; P. Zeng","University of Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; Lab. of Networked Control Systems, Chinese Academy of Sciences, Shenyang, China","2018 IEEE 3rd Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)","16 Dec 2018","2018","","","791","796","The industrial cyber-physical production system contains a variety of heterogeneous devices and models, which increase the complexity of system design, particularly in software programming. Although the proposed model-driven engineering (MDE) is applied to industrial automation for this issue, the inherent complex dependencies and constraints between models and the availability of suitable tools for code generation limit the application of the model-driven approach in practice, especially as the system becomes more enormous. The component-based design (CBD) approach, which is a bottom-up approach, in contrast to the MDE that is top-down, is proposed to manage the complexity of software aspect based on the idea that building a system from existing components instead of the scratch. However, CBD can't provide the whole system model, so other ways should be adopted to design the system structure in advance. This paper presents an integrated design approach based on the combination of CBD and MDE to realize auto-design for cyber-physical production systems.","2381-0947","978-1-5386-4509-3","10.1109/IAEAC.2018.8577518","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8577518","Component-based Design;IEC 61499;Industrial automation;Model-based design;Ontology;Semantic technology","Unified modeling language;Automation;Control systems;Software;Ontologies;Testing;Integrated design","","2","","24","IEEE","16 Dec 2018","","","IEEE","IEEE Conferences"
"Ontology-based medical image annotation with description logics","Bo Hu; S. Dasmahapatra; P. Lewis; N. Shadbolt","Department of Electronics and Computer Science, University of Southampton, UK; Department of Electronics and Computer Science, University of Southampton, UK; Department of Electronics and Computer Science, University of Southampton, UK; Department of Electronics and Computer Science, University of Southampton, UK",Proceedings. 15th IEEE International Conference on Tools with Artificial Intelligence,"8 Dec 2003","2003","","","77","82","The interpretation of medical evidence is normally presented in terms of a controlled, but diversely expressed specialist vocabulary and natural language phrases. Such informally expressed data require human intervention to ascertain its relevance in any specific case. In order to facilitate machine-based reasoning about the evidence gathered, additional interpretive semantics must be attached to the data; a shift from a merely data-intensive approach to a semantics-rich model of evidence. In this paper, we present a system to formally annotate medical images captured to aid the diagnosis and management of breast cancer, that enables a series of semantics-based operations to be performed. Our approach is grounded upon an imaging ontology specifying the domain knowledge and a description logic (DL) taxonomic inferential engine responsible for semantics-based reasoning and image retrieval.","1082-3409","0-7695-2038-3","10.1109/TAI.2003.1250173","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1250173","","Ontologies;Biomedical imaging;Logic;Medical diagnostic imaging;Vocabulary;Natural languages;Humans;Breast cancer;Engines;Image retrieval","","13","14","23","IEEE","8 Dec 2003","","","IEEE","IEEE Conferences"
"Sustainable Interoperability and Data Integration for the IoT-Based Information Systems","A. Hussain; W. Wu","Faculty of Arts and Technology, Staffordshire University, Stoke-on-Trent, United Kingdom; School of Engineering and Built Environment, Birmingham City University, Birmingham, United Kingdom","2017 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)","1 Feb 2018","2017","","","824","829","Devices used in Internet of Things (IoT) technology are interconnected through internet and continuously send data for storage in disparate databases and files. This poses heterogeneity in data syntax and semantics. In the past few years, researches have been carried out to handle these problems in various information systems such as water and healthcare by applying semantic and syntactic uniformity. This research presents an Information and Communication Technology (ICT) framework to sustain the interoperability between stakeholders within an information system by applying Model Driven Software Development (MDSD) paradigm and ontology. The major contribution of this research is building software model which is annotated with semantic model to maintain the comprehension between the modelers and the programmers allowing sustainability by adapting to the changing environment. Moreover, the framework offers two types of semantic validation i.e. model and data of the documents to integrate sensor data which we claim as a novelty in this study. The validated IoT data is integrated through RESTful web service interface of SensorThings API. The aim of this paper is to apply the methodology of the framework, on IoT based healthcare system, that has been successful in water information system.","","978-1-5386-3066-2","10.1109/iThings-GreenCom-CPSCom-SmartData.2017.126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8276845","Model Driven Software Development;Ontology;Healthcare systems;Semantic Validation;OGC SensorThings","Unified modeling language;Semantics;Interoperability;Ontologies;Medical services;Adaptation models;Software","","1","","24","IEEE","1 Feb 2018","","","IEEE","IEEE Conferences"
